Player: 柯洁, Date: 2017-01-01, Rating: 3694, Black and White: 执白, Result: 负, Opponent: 申旻埈
Player: 柯洁, Date: 2016-12-31, Rating: 3694, Black and White: 执白, Result: 胜, Opponent: 宋圭相
Player: 柯洁, Date: 2016-12-26, Rating: 3694, Black and White: 执白, Result: 胜, Opponent: 范蕴若
Player: 柯洁, Date: 2016-12-24, Rating: 3694, Black and White: 执白, Result: 胜, Opponent: 李轩豪
Player: 柯洁, Date: 2016-12-22, Rating: 3694, Black and White: 执黑, Result: 负, Opponent: 朴永训
Player: 柯洁, Date: 2016-12-20, Rating: 3694, Black and White: 执黑, Result: 胜, Opponent: 芈昱廷
Player: 柯洁, Date: 2016-12-16, Rating: 3694, Black and White: 执黑, Result: 负, Opponent: 陈耀烨
Player: 柯洁, Date: 2016-12-14, Rating: 3694, Black and White: 执白, Result: 胜, Opponent: 陈耀烨
Player: 柯洁, Date: 2016-12-11, Rating: 3694, Black and White: 执白, Result: 胜, Opponent: 河野临
Player: 柯洁, Date: 2016-12-08, Rating: 3694, Black and White: 执黑, Result: 胜, Opponent: 柁嘉熹
Player: 柯洁, Date: 2016-12-07, Rating: 3694, Black and White: 执白, Result: 胜, Opponent: 柁嘉熹
Player: 柯洁, Date: 2016-12-06, Rating: 3694, Black and White: 执黑, Result: 负, Opponent: 柁嘉熹
Player: 柯洁, Date: 2016-12-03, Rating: 3694, Black and White: 执黑, Result: 胜, Opponent: 檀啸
Player: 柯洁, Date: 2016-12-01, Rating: 3694, Black and White: 执白, Result: 负, Opponent: 金志锡
Player: 柯洁, Date: 2016-11-21, Rating: 3694, Black and White: 执白, Result: 胜, Opponent: 时越
Player: 柯洁, Date: 2016-11-18, Rating: 3694, Black and White: 执黑, Result: 胜, Opponent: 周睿羊
Player: 柯洁, Date: 2016-11-14, Rating: 3694, Black and White: 执白, Result: 胜, Opponent: 李东勋
Player: 柯洁, Date: 2016-11-10, Rating: 3694, Black and White: 执黑, Result: 胜, Opponent: 伊田笃史
Player: 柯洁, Date: 2016-11-08, Rating: 3694, Black and White: 执白, Result: 胜, Opponent: 唐韦星
Player: 柯洁, Date: 2016-11-06, Rating: 3694, Black and White: 执黑, Result: 胜, Opponent: 安国铉
Player: 柯洁, Date: 2016-11-04, Rating: 3694, Black and White: 执黑, Result: 胜, Opponent: 钟文靖
Player: 柯洁, Date: 2016-11-02, Rating: 3694, Black and White: 执白, Result: 胜, Opponent: 李世石
Player: 柯洁, Date: 2016-11-01, Rating: 3694, Black and White: 执白, Result: 负, Opponent: 李世石
Player: 柯洁, Date: 2016-10-31, Rating: 3693, Black and White: 执黑, Result: 胜, Opponent: 李世石
Player: 柯洁, Date: 2016-10-28, Rating: 3693, Black and White: 执白, Result: 胜, Opponent: 郭闻潮
Player: 柯洁, Date: 2016-10-15, Rating: 3693, Black and White: 执白, Result: 负, Opponent: 芈昱廷
Player: 柯洁, Date: 2016-10-14, Rating: 3693, Black and White: 执白, Result: 胜, Opponent: 柁嘉熹
Player: 柯洁, Date: 2016-10-12, Rating: 3693, Black and White: 执白, Result: 胜, Opponent: 陈耀烨
Player: 柯洁, Date: 2016-10-10, Rating: 3693, Black and White: 执黑, Result: 胜, Opponent: 崔哲瀚
Player: 柯洁, Date: 2016-10-08, Rating: 3693, Black and White: 执白, Result: 胜, Opponent: 谢科
Player: 柯洁, Date: 2016-10-06, Rating: 3692, Black and White: 执黑, Result: 胜, Opponent: 周睿羊
Player: 柯洁, Date: 2016-10-04, Rating: 3692, Black and White: 执白, Result: 胜, Opponent: 李东勋
Player: 柯洁, Date: 2016-09-29, Rating: 3692, Black and White: 执白, Result: 胜, Opponent: 陈耀烨
Player: 柯洁, Date: 2016-09-22, Rating: 3691, Black and White: 执黑, Result: 负, Opponent: 陈耀烨
Player: 柯洁, Date: 2016-09-20, Rating: 3691, Black and White: 执白, Result: 负, Opponent: 陈耀烨
Player: 柯洁, Date: 2016-09-12, Rating: 3691, Black and White: 执黑, Result: 胜, Opponent: 唐韦星
Player: 柯洁, Date: 2016-09-10, Rating: 3691, Black and White: 执白, Result: 胜, Opponent: 芈昱廷
Player: 柯洁, Date: 2016-09-08, Rating: 3691, Black and White: 执白, Result: 胜, Opponent: 郭闻潮
Player: 柯洁, Date: 2016-09-07, Rating: 3691, Black and White: 执黑, Result: 负, Opponent: 姜东润
Player: 柯洁, Date: 2016-09-06, Rating: 3690, Black and White: 执白, Result: 胜, Opponent: 芮乃伟
Player: 柯洁, Date: 2016-08-30, Rating: 3690, Black and White: 执黑, Result: 胜, Opponent: 元晟溱
Player: 柯洁, Date: 2016-08-29, Rating: 3690, Black and White: 执黑, Result: 胜, Opponent: 元晟溱
Player: 柯洁, Date: 2016-08-27, Rating: 3690, Black and White: 执白, Result: 负, Opponent: 元晟溱
Player: 柯洁, Date: 2016-08-25, Rating: 3690, Black and White: 执黑, Result: 胜, Opponent: 许嘉阳
Player: 柯洁, Date: 2016-08-23, Rating: 3690, Black and White: 执黑, Result: 负, Opponent: 黄云嵩
Player: 柯洁, Date: 2016-08-22, Rating: 3690, Black and White: 执白, Result: 胜, Opponent: 邱峻
Player: 柯洁, Date: 2016-08-19, Rating: 3690, Black and White: 执黑, Result: 负, Opponent: 唐韦星
Player: 柯洁, Date: 2016-08-18, Rating: 3690, Black and White: 执白, Result: 胜, Opponent: 周睿羊
Player: 柯洁, Date: 2016-08-18, Rating: 3690, Black and White: 执黑, Result: 胜, Opponent: 柁嘉熹
Player: 柯洁, Date: 2016-07-29, Rating: 3689, Black and White: 执白, Result: 胜, Opponent: 黄云嵩
Player: 柯洁, Date: 2016-07-17, Rating: 3689, Black and White: 执白, Result: 负, Opponent: 唐韦星
Player: 柯洁, Date: 2016-07-16, Rating: 3689, Black and White: 执黑, Result: 负, Opponent: 时越
Player: 柯洁, Date: 2016-07-15, Rating: 3689, Black and White: 执黑, Result: 胜, Opponent: 周俊勋
Player: 柯洁, Date: 2016-07-04, Rating: 3689, Black and White: 执白, Result: 负, Opponent: 檀啸
Player: 柯洁, Date: 2016-07-02, Rating: 3689, Black and White: 执黑, Result: 胜, Opponent: 闵详然
Player: 柯洁, Date: 2016-06-30, Rating: 3689, Black and White: 执白, Result: 胜, Opponent: 孟泰龄
Player: 柯洁, Date: 2016-06-28, Rating: 3689, Black and White: 执黑, Result: 胜, Opponent: 童梦成
Player: 柯洁, Date: 2016-06-25, Rating: 3689, Black and White: 执黑, Result: 胜, Opponent: 金志锡
Player: 柯洁, Date: 2016-06-20, Rating: 3689, Black and White: 执黑, Result: 胜, Opponent: 时越
Player: 柯洁, Date: 2016-06-16, Rating: 3689, Black and White: 执白, Result: 胜, Opponent: 范廷钰
Player: 柯洁, Date: 2016-06-13, Rating: 3689, Black and White: 执白, Result: 胜, Opponent: 彭立尧
Player: 柯洁, Date: 2016-06-06, Rating: 3689, Black and White: 执黑, Result: 负, Opponent: 李东勋
Player: 柯洁, Date: 2016-06-04, Rating: 3689, Black and White: 执黑, Result: 负, Opponent: 范蕴若
Player: 柯洁, Date: 2016-06-03, Rating: 3689, Black and White: 执白, Result: 胜, Opponent: 汪涛
Player: 柯洁, Date: 2016-06-03, Rating: 3689, Black and White: 执黑, Result: 胜, Opponent: 胡耀宇
Player: 柯洁, Date: 2016-06-01, Rating: 3689, Black and White: 执黑, Result: 负, Opponent: 朴廷桓
Player: 柯洁, Date: 2016-05-30, Rating: 3689, Black and White: 执白, Result: 胜, Opponent: 苏耀国
Player: 柯洁, Date: 2016-05-23, Rating: 3689, Black and White: 执白, Result: 胜, Opponent: 韩一洲
Player: 柯洁, Date: 2016-05-20, Rating: 3689, Black and White: 执白, Result: 胜, Opponent: 黄云嵩
Player: 柯洁, Date: 2016-05-18, Rating: 3689, Black and White: 执白, Result: 胜, Opponent: 聂卫平
Player: 柯洁, Date: 2016-05-16, Rating: 3689, Black and White: 执黑, Result: 负, Opponent: 朴廷桓
Player: 柯洁, Date: 2016-05-11, Rating: 3689, Black and White: 执黑, Result: 胜, Opponent: 毛睿龙
Player: 柯洁, Date: 2016-05-09, Rating: 3689, Black and White: 执白, Result: 胜, Opponent: 古灵益
Player: 柯洁, Date: 2016-04-30, Rating: 3689, Black and White: 执黑, Result: 胜, Opponent: 谢科
Player: 柯洁, Date: 2016-04-24, Rating: 3689, Black and White: 执黑, Result: 负, Opponent: 朴廷桓
