Rank,Player,Profile URL
1,朴廷桓,https://www.goratings.org/zh/../../zh/players/1090.html
2,申真谞,https://www.goratings.org/zh/../../zh/players/1313.html
3,柯洁,https://www.goratings.org/zh/../../zh/players/1195.html
4,芈昱廷,https://www.goratings.org/zh/../../zh/players/1155.html
5,辜梓豪,https://www.goratings.org/zh/../../zh/players/1253.html
6,连笑,https://www.goratings.org/zh/../../zh/players/1082.html
7,金志锡,https://www.goratings.org/zh/../../zh/players/862.html
8,范廷钰,https://www.goratings.org/zh/../../zh/players/1194.html
9,杨鼎新,https://www.goratings.org/zh/../../zh/players/1193.html
10,时越,https://www.goratings.org/zh/../../zh/players/449.html
11,柁嘉熹,https://www.goratings.org/zh/../../zh/players/433.html
12,陈耀烨,https://www.goratings.org/zh/../../zh/players/297.html
13,许嘉阳,https://www.goratings.org/zh/../../zh/players/1399.html
14,谢尔豪,https://www.goratings.org/zh/../../zh/players/1276.html
15,江维杰,https://www.goratings.org/zh/../../zh/players/964.html
16,范蕴若,https://www.goratings.org/zh/../../zh/players/1207.html
17,井山裕太,https://www.goratings.org/zh/../../zh/players/601.html
18,李钦诚,https://www.goratings.org/zh/../../zh/players/1282.html
19,谢科,https://www.goratings.org/zh/../../zh/players/1507.html
20,李东勋,https://www.goratings.org/zh/../../zh/players/1259.html
21,卞相壹,https://www.goratings.org/zh/../../zh/players/1290.html
22,檀啸,https://www.goratings.org/zh/../../zh/players/995.html
23,童梦成,https://www.goratings.org/zh/../../zh/players/1250.html
24,唐韦星,https://www.goratings.org/zh/../../zh/players/897.html
25,王檄,https://www.goratings.org/zh/../../zh/players/76.html
26,周睿羊,https://www.goratings.org/zh/../../zh/players/381.html
27,李世石,https://www.goratings.org/zh/../../zh/players/5.html
28,申旻埈,https://www.goratings.org/zh/../../zh/players/1314.html
29,丁浩,https://www.goratings.org/zh/../../zh/players/1511.html
30,朴永训,https://www.goratings.org/zh/../../zh/players/125.html
31,罗玄,https://www.goratings.org/zh/../../zh/players/1197.html
32,廖元赫,https://www.goratings.org/zh/../../zh/players/1427.html
33,范胤,https://www.goratings.org/zh/../../zh/players/1275.html
34,李轩豪,https://www.goratings.org/zh/../../zh/players/1175.html
35,赵晨宇,https://www.goratings.org/zh/../../zh/players/1363.html
36,彭立尧,https://www.goratings.org/zh/../../zh/players/993.html
37,陶欣然,https://www.goratings.org/zh/../../zh/players/1101.html
38,李映九,https://www.goratings.org/zh/../../zh/players/303.html
39,姜东润,https://www.goratings.org/zh/../../zh/players/313.html
40,崔哲瀚,https://www.goratings.org/zh/../../zh/players/161.html
41,黄云嵩,https://www.goratings.org/zh/../../zh/players/1232.html
42,党毅飞,https://www.goratings.org/zh/../../zh/players/1135.html
43,安成浚,https://www.goratings.org/zh/../../zh/players/1173.html
44,李志贤,https://www.goratings.org/zh/../../zh/players/1166.html
45,屠晓宇,https://www.goratings.org/zh/../../zh/players/1779.html
46,张涛,https://www.goratings.org/zh/../../zh/players/1051.html
47,金明训,https://www.goratings.org/zh/../../zh/players/1364.html
48,元晟溱,https://www.goratings.org/zh/../../zh/players/114.html
49,孟泰龄,https://www.goratings.org/zh/../../zh/players/410.html
50,一力辽,https://www.goratings.org/zh/../../zh/players/1231.html
51,邱峻,https://www.goratings.org/zh/../../zh/players/45.html
52,杨楷文,https://www.goratings.org/zh/../../zh/players/1283.html
53,尹峻相,https://www.goratings.org/zh/../../zh/players/267.html
54,朴进率,https://www.goratings.org/zh/../../zh/players/299.html
55,李维清,https://www.goratings.org/zh/../../zh/players/1423.html
56,夏晨琨,https://www.goratings.org/zh/../../zh/players/1312.html
57,许家元,https://www.goratings.org/zh/../../zh/players/1451.html
58,韩一洲,https://www.goratings.org/zh/../../zh/players/1251.html
59,赵汉乘,https://www.goratings.org/zh/../../zh/players/99.html
60,毛睿龙,https://www.goratings.org/zh/../../zh/players/468.html
61,陈贤,https://www.goratings.org/zh/../../zh/players/1292.html
62,孙腾宇,https://www.goratings.org/zh/../../zh/players/967.html
63,安国铉,https://www.goratings.org/zh/../../zh/players/1210.html
64,姜儒泽,https://www.goratings.org/zh/../../zh/players/1132.html
