Player: 李昌镐, Date: 2003-12-31, Rating: 3528, Black and White: 执白, Result: 胜, Opponent: 俞斌
Player: 李昌镐, Date: 2003-12-15, Rating: 3528, Black and White: 执白, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 2003-12-12, Rating: 3528, Black and White: 执黑, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 2003-12-05, Rating: 3528, Black and White: 执白, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 2003-11-22, Rating: 3527, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 李昌镐, Date: 2003-11-20, Rating: 3527, Black and White: 执白, Result: 胜, Opponent: 赵汉乘
Player: 李昌镐, Date: 2003-11-13, Rating: 3527, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 2003-11-10, Rating: 3527, Black and White: 执黑, Result: 胜, Opponent: 赵汉乘
Player: 李昌镐, Date: 2003-11-01, Rating: 3526, Black and White: 执黑, Result: 胜, Opponent: 朴永训
Player: 李昌镐, Date: 2003-10-28, Rating: 3526, Black and White: 执黑, Result: 胜, Opponent: 金主镐
Player: 李昌镐, Date: 2003-10-18, Rating: 3525, Black and White: 执黑, Result: 胜, Opponent: 刘昌赫
Player: 李昌镐, Date: 2003-10-15, Rating: 3525, Black and White: 执白, Result: 负, Opponent: 谢赫
Player: 李昌镐, Date: 2003-10-10, Rating: 3525, Black and White: 执白, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 2003-10-07, Rating: 3524, Black and White: 执白, Result: 胜, Opponent: 赵汉乘
Player: 李昌镐, Date: 2003-09-29, Rating: 3524, Black and White: 执白, Result: 胜, Opponent: 安祚永
Player: 李昌镐, Date: 2003-09-27, Rating: 3524, Black and White: 执白, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 2003-09-05, Rating: 3522, Black and White: 执黑, Result: 负, Opponent: 三村智保
Player: 李昌镐, Date: 2003-08-29, Rating: 3522, Black and White: 执白, Result: 胜, Opponent: 王煜辉
Player: 李昌镐, Date: 2003-08-27, Rating: 3522, Black and White: 执黑, Result: 胜, Opponent: 彭荃
Player: 李昌镐, Date: 2003-08-22, Rating: 3521, Black and White: 执白, Result: 胜, Opponent: 宋泰坤
Player: 李昌镐, Date: 2003-08-06, Rating: 3520, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 2003-07-28, Rating: 3520, Black and White: 执白, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 2003-07-25, Rating: 3519, Black and White: 执白, Result: 胜, Opponent: 金荣桓
Player: 李昌镐, Date: 2003-07-19, Rating: 3519, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 2003-07-11, Rating: 3518, Black and White: 执白, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 2003-07-07, Rating: 3518, Black and White: 执白, Result: 胜, Opponent: 依田纪基
Player: 李昌镐, Date: 2003-07-05, Rating: 3518, Black and White: 执白, Result: 负, Opponent: 宋泰坤
Player: 李昌镐, Date: 2003-06-25, Rating: 3517, Black and White: 执白, Result: 负, Opponent: 赵汉乘
Player: 李昌镐, Date: 2003-06-19, Rating: 3517, Black and White: 执白, Result: 胜, Opponent: 赵治勋
Player: 李昌镐, Date: 2003-06-13, Rating: 3516, Black and White: 执白, Result: 负, Opponent: 刘昌赫
Player: 李昌镐, Date: 2003-06-11, Rating: 3516, Black and White: 执黑, Result: 胜, Opponent: 江铸久
Player: 李昌镐, Date: 2003-06-07, Rating: 3516, Black and White: 执黑, Result: 胜, Opponent: 王立诚
Player: 李昌镐, Date: 2003-06-02, Rating: 3516, Black and White: 执黑, Result: 负, Opponent: 刘昌赫
Player: 李昌镐, Date: 2003-05-28, Rating: 3516, Black and White: 执白, Result: 负, Opponent: 朴永训
Player: 李昌镐, Date: 2003-05-26, Rating: 3516, Black and White: 执白, Result: 负, Opponent: 刘昌赫
Player: 李昌镐, Date: 2003-05-20, Rating: 3516, Black and White: 执黑, Result: 胜, Opponent: 朴永训
Player: 李昌镐, Date: 2003-05-07, Rating: 3516, Black and White: 执黑, Result: 胜, Opponent: 安永吉
Player: 李昌镐, Date: 2003-04-29, Rating: 3516, Black and White: 执白, Result: 负, Opponent: 张栩
Player: 李昌镐, Date: 2003-04-28, Rating: 3516, Black and White: 执黑, Result: 负, Opponent: 羽根直树
Player: 李昌镐, Date: 2003-04-27, Rating: 3516, Black and White: 执黑, Result: 胜, Opponent: 丁伟
Player: 李昌镐, Date: 2003-04-23, Rating: 3516, Black and White: 执白, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 2003-04-21, Rating: 3516, Black and White: 执黑, Result: 胜, Opponent: 安达勋
Player: 李昌镐, Date: 2003-04-17, Rating: 3516, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 2003-04-14, Rating: 3517, Black and White: 执白, Result: 胜, Opponent: 李廷训
Player: 李昌镐, Date: 2003-04-09, Rating: 3517, Black and White: 执白, Result: 负, Opponent: 李世石
Player: 李昌镐, Date: 2003-04-01, Rating: 3517, Black and White: 执白, Result: 胜, Opponent: 赵大贤
Player: 李昌镐, Date: 2003-03-27, Rating: 3517, Black and White: 执黑, Result: 负, Opponent: 李世石
Player: 李昌镐, Date: 2003-03-25, Rating: 3517, Black and White: 执白, Result: 负, Opponent: 李世石
Player: 李昌镐, Date: 2003-03-22, Rating: 3517, Black and White: 执白, Result: 负, Opponent: 李世石
Player: 李昌镐, Date: 2003-03-18, Rating: 3518, Black and White: 执黑, Result: 胜, Opponent: 羽根直树
Player: 李昌镐, Date: 2003-03-16, Rating: 3518, Black and White: 执白, Result: 胜, Opponent: 羽根直树
Player: 李昌镐, Date: 2003-03-14, Rating: 3518, Black and White: 执黑, Result: 胜, Opponent: 崔哲瀚
Player: 李昌镐, Date: 2003-03-06, Rating: 3519, Black and White: 执白, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 2003-03-01, Rating: 3519, Black and White: 执黑, Result: 胜, Opponent: 赵汉乘
Player: 李昌镐, Date: 2003-02-27, Rating: 3519, Black and White: 执黑, Result: 胜, Opponent: 李世石
Player: 李昌镐, Date: 2003-02-25, Rating: 3519, Black and White: 执白, Result: 负, Opponent: 李世石
Player: 李昌镐, Date: 2003-02-20, Rating: 3520, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 2003-02-14, Rating: 3520, Black and White: 执白, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 2003-02-11, Rating: 3521, Black and White: 执黑, Result: 胜, Opponent: 元晟溱
Player: 李昌镐, Date: 2003-02-06, Rating: 3521, Black and White: 执白, Result: 胜, Opponent: 赵汉乘
Player: 李昌镐, Date: 2003-02-04, Rating: 3521, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 2003-01-29, Rating: 3522, Black and White: 执黑, Result: 胜, Opponent: 常昊
Player: 李昌镐, Date: 2003-01-23, Rating: 3522, Black and White: 执白, Result: 胜, Opponent: 罗洗河
Player: 李昌镐, Date: 2003-01-22, Rating: 3522, Black and White: 执黑, Result: 胜, Opponent: 胡耀宇
Player: 李昌镐, Date: 2003-01-16, Rating: 3522, Black and White: 执黑, Result: 胜, Opponent: 赵汉乘
Player: 李昌镐, Date: 2003-01-14, Rating: 3522, Black and White: 执白, Result: 胜, Opponent: 徐能旭
Player: 李昌镐, Date: 2003-01-11, Rating: 3522, Black and White: 执白, Result: 胜, Opponent: 朴进率
Player: 李昌镐, Date: 2003-01-08, Rating: 3522, Black and White: 执白, Result: 胜, Opponent: 赵汉乘
Player: 李昌镐, Date: 2003-01-06, Rating: 3522, Black and White: 执白, Result: 胜, Opponent: 崔明勋
Player: 古力, Date: 2003-12-31, Rating: 3473, Black and White: 执白, Result: 胜, Opponent: 结城聪
Player: 古力, Date: 2003-12-29, Rating: 3473, Black and White: 执黑, Result: 胜, Opponent: 麦克雷蒙
Player: 古力, Date: 2003-12-25, Rating: 3473, Black and White: 执黑, Result: 负, Opponent: 安祚永
Player: 古力, Date: 2003-12-18, Rating: 3474, Black and White: 执白, Result: 胜, Opponent: 林朝华
Player: 古力, Date: 2003-12-11, Rating: 3474, Black and White: 执白, Result: 胜, Opponent: 古灵益
Player: 古力, Date: 2003-12-06, Rating: 3474, Black and White: 执黑, Result: 胜, Opponent: 王磊
Player: 古力, Date: 2003-12-04, Rating: 3474, Black and White: 执黑, Result: 胜, Opponent: 赵守洵
Player: 古力, Date: 2003-11-30, Rating: 3474, Black and White: 执黑, Result: 胜, Opponent: 孔杰
Player: 古力, Date: 2003-11-27, Rating: 3474, Black and White: 执白, Result: 负, Opponent: 常昊
Player: 古力, Date: 2003-11-23, Rating: 3475, Black and White: 执黑, Result: 胜, Opponent: 王磊
Player: 古力, Date: 2003-11-20, Rating: 3475, Black and White: 执黑, Result: 胜, Opponent: 景石
Player: 古力, Date: 2003-11-13, Rating: 3475, Black and White: 执黑, Result: 胜, Opponent: 王雷
Player: 古力, Date: 2003-11-01, Rating: 3475, Black and White: 执白, Result: 胜, Opponent: 胡耀宇
Player: 古力, Date: 2003-10-30, Rating: 3475, Black and White: 执黑, Result: 胜, Opponent: 罗洗河
Player: 古力, Date: 2003-10-23, Rating: 3474, Black and White: 执黑, Result: 负, Opponent: 汪洋
Player: 古力, Date: 2003-10-16, Rating: 3474, Black and White: 执黑, Result: 胜, Opponent: 张学斌
Player: 古力, Date: 2003-10-12, Rating: 3474, Black and White: 执白, Result: 胜, Opponent: 周鹤洋
Player: 古力, Date: 2003-10-09, Rating: 3474, Black and White: 执黑, Result: 胜, Opponent: 王垚
Player: 古力, Date: 2003-10-04, Rating: 3474, Black and White: 执白, Result: 负, Opponent: 常昊
Player: 古力, Date: 2003-10-03, Rating: 3474, Black and White: 执白, Result: 胜, Opponent: 俞斌
Player: 古力, Date: 2003-09-24, Rating: 3474, Black and White: 执白, Result: 胜, Opponent: 胡耀宇
Player: 古力, Date: 2003-09-23, Rating: 3474, Black and White: 执黑, Result: 负, Opponent: 刘世振
Player: 古力, Date: 2003-09-19, Rating: 3474, Black and White: 执白, Result: 胜, Opponent: 邵炜刚
Player: 古力, Date: 2003-09-14, Rating: 3474, Black and White: 执白, Result: 胜, Opponent: 王檄
Player: 古力, Date: 2003-09-04, Rating: 3474, Black and White: 执白, Result: 胜, Opponent: 聂卫平
Player: 古力, Date: 2003-09-01, Rating: 3474, Black and White: 执黑, Result: 胜, Opponent: 高尾绅路
Player: 古力, Date: 2003-08-31, Rating: 3474, Black and White: 执黑, Result: 负, Opponent: 邱峻
Player: 古力, Date: 2003-08-21, Rating: 3474, Black and White: 执黑, Result: 胜, Opponent: 胡耀宇
Player: 古力, Date: 2003-08-13, Rating: 3474, Black and White: 执白, Result: 胜, Opponent: 宋泰坤
Player: 古力, Date: 2003-08-11, Rating: 3473, Black and White: 执黑, Result: 胜, Opponent: 宋泰坤
Player: 古力, Date: 2003-08-07, Rating: 3473, Black and White: 执白, Result: 胜, Opponent: 金承俊
Player: 古力, Date: 2003-07-17, Rating: 3472, Black and White: 执黑, Result: 胜, Opponent: 王亦民
Player: 古力, Date: 2003-07-10, Rating: 3471, Black and White: 执黑, Result: 胜, Opponent: 刘星
Player: 古力, Date: 2003-07-05, Rating: 3471, Black and White: 执黑, Result: 胜, Opponent: 刘小光
Player: 古力, Date: 2003-05-28, Rating: 3468, Black and White: 执黑, Result: 胜, Opponent: 黄奕中
Player: 古力, Date: 2003-05-27, Rating: 3468, Black and White: 执黑, Result: 负, Opponent: 孔杰
Player: 古力, Date: 2003-05-26, Rating: 3468, Black and White: 执白, Result: 胜, Opponent: 邵炜刚
Player: 古力, Date: 2003-05-23, Rating: 3468, Black and White: 执黑, Result: 胜, Opponent: 牛雨田
Player: 古力, Date: 2003-05-22, Rating: 3468, Black and White: 执白, Result: 负, Opponent: 王檄
Player: 古力, Date: 2003-05-21, Rating: 3467, Black and White: 执白, Result: 胜, Opponent: 谢赫
Player: 古力, Date: 2003-05-19, Rating: 3467, Black and White: 执黑, Result: 胜, Opponent: 罗洗河
Player: 古力, Date: 2003-04-23, Rating: 3465, Black and White: 执黑, Result: 胜, Opponent: 孔杰
Player: 古力, Date: 2003-04-14, Rating: 3464, Black and White: 执黑, Result: 负, Opponent: 刘昌赫
Player: 古力, Date: 2003-04-12, Rating: 3464, Black and White: 执黑, Result: 胜, Opponent: 赵治勋
Player: 古力, Date: 2003-03-30, Rating: 3462, Black and White: 执黑, Result: 胜, Opponent: 丁伟
Player: 古力, Date: 2003-03-16, Rating: 3461, Black and White: 执白, Result: 胜, Opponent: 黄奕中
